,Prediction,Actual
531,small,small
532,small,small
533,small,small
534,small,small
535,small,small
536,small,small
537,small,small
538,small,small
539,small,small
540,small,small
541,small,small
542,small,small
543,small,small
544,small,small
545,small,small
546,small,small
547,small,small
548,small,small
549,small,small
550,small,small
551,small,small
552,small,small
553,small,small
554,small,small
555,small,small
556,small,small
557,small,small
558,small,small
559,small,small
560,small,small
561,small,small
562,small,small
563,small,small
564,small,small
565,small,small
566,small,small
567,small,small
568,small,small
569,small,small
570,small,small
571,small,small
572,small,small
573,small,small
574,small,small
575,small,small
576,small,small
577,small,small
578,small,small
579,small,small
580,small,small
581,small,small
582,small,small
583,small,small
584,small,small
585,small,small
586,small,small
587,small,small
588,small,small
589,small,small
590,small,small
591,small,small
592,small,small
593,small,small
594,small,small
595,small,small
596,small,small
597,small,small
598,small,small
599,small,small
600,small,small
601,small,small
602,small,small
603,small,small
604,small,small
605,small,small
606,small,small
607,small,small
608,small,small
609,small,big
610,small,small
611,small,small
612,small,small
613,small,small
614,small,small
615,small,small
616,small,small
617,small,small
618,small,small
619,small,small
620,small,small
621,small,small
622,small,small
623,small,small
624,small,small
625,small,small
626,small,small
627,small,small
628,small,small
629,small,small
630,small,small
631,small,small
632,small,small
633,small,small
634,small,small
635,small,small
636,small,small
637,small,small
638,small,small
639,small,small
640,small,small
641,small,small
642,small,small
643,small,small
644,small,small
645,small,small
646,small,small
647,small,small
648,small,small
649,small,small
650,small,small
651,small,small
652,small,small
653,small,small
654,small,small
655,small,small
656,small,big
657,small,small
658,small,small
659,small,small
660,big,big
661,small,small
662,small,small
663,small,small
664,small,small
665,small,small
666,small,small
667,small,small
668,small,small
669,small,small
670,small,small
671,small,small
672,small,small
673,small,small
674,small,small
675,small,small
676,small,small
677,small,small
678,small,small
679,small,small
680,small,small
681,small,small
682,small,small
683,small,small
684,small,small
685,small,small
686,small,small
687,small,small
688,small,small
689,small,small
690,small,small
691,small,small
692,small,small
693,small,small
694,small,small
695,small,small
696,small,small
697,small,small
698,small,small
699,small,small
700,small,small
701,small,small
702,small,small
703,small,small
704,small,small
705,small,small
706,small,small
707,small,small
708,big,small
709,small,small
710,small,small
