mag,Closest City,mag 0-2.5,mag 2.5-3,mag 3-4,mag 4+,Period (days),Freq (events/day),Average Depth,Max Depth,label
5.84,Bonne Claire NV,0,1,3,4,29.04166667,0.30989957,3000.388,56.421,Small
5.81,Bonne Claire NV,0,0,6,5,25.71212963,0.466705799,2253.899333,56.421,Small
5.84,Sugar Bunker NV,0,0,0,1,13.96876157,0.143176615,13523.746,56.421,Small
5.67,Sugar Bunker NV,0,0,0,1,3.887881944,0.514418912,13524.146,56.421,Small
5.7,Palermo CA,0,5,5,2,26.58969907,0.488911137,2084.267923,56.421,Small
5.52,Sugar Bunker NV,0,0,0,3,22.92361111,0.174492578,6774.42075,56.421,Small
5.64,Sugar Bunker NV,0,0,1,1,12.97918981,0.231139235,9032.697667,56.421,Small
5.8,Santa Clarita,0,0,0,9,0.001435185,6967.741932,2715.5043,56.421,Small
5.8,Santa Clarita,0,0,0,1,0.000347222,5759.999981,13581.9965,56.421,Small
6.6,Santa Clarita,0,0,0,0,,,,,Small
5.54,Bonne Claire NV,0,0,2,1,28.14584491,0.142116892,6791.17575,56.421,Small
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
